variable;variable_old;item;text;info
Duration (in seconds);Duration (in seconds);NA;Dauer (in Sekunden);"{""ImportId"":""duration""}"
ResponseId;ResponseId;NA;Antwort-ID;"{""ImportId"":""_recordId""}"
Gender;gender;NA;Mit welchem Geschlecht identifizieren Sie sich?;"{""ImportId"":""QID3""}"
Age;age;NA;Bitte geben Sie Ihr Alter in Jahren an:;"{""ImportId"":""QID2_TEXT""}"
Bildungsabschluss;Bildungsabschluss;NA;Was ist Ihr höchster Bildungsabschluss?;"{""ImportId"":""QID5""}"
Wohnort;Wohnort;NA;Was beschreibt Ihren aktuellen Wohnort am ehesten?;"{""ImportId"":""QID6""}"
big5_1;Big5_1;Ich habe eine aktive Vorstellungskraft, bin fantasievoll.;Inwiefern stimmen Sie diesen Aussagen zu Ihrer Persönlichkeit zu? - Ich habe eine aktive Vorstellungskraft, bin fantasievoll.;"{""ImportId"":""QID8_8""}"
big5_2n;Big5_2;Ich habe wenig künstlerisches Interesse.;Inwiefern stimmen Sie diesen Aussagen zu Ihrer Persönlichkeit zu? - Ich habe wenig künstlerisches Interesse.;"{""ImportId"":""QID8_10""}"
nzv_1n;NZV_1;Bei unbekannten automatisierten Systemen sollte man eher vorsichtig sein.;Inwiefern stimmen Sie diesen Aussagen zu Technologie und Vertrauen zu? - Bei unbekannten automatisierten Systemen sollte man eher vorsichtig sein.;"{""ImportId"":""QID42_1""}"
nzv_2;NZV_2;Ich vertraue einem System eher, als dass ich ihm misstraue.;Inwiefern stimmen Sie diesen Aussagen zu Technologie und Vertrauen zu? - Ich vertraue einem System eher, als dass ich ihm misstraue.;"{""ImportId"":""QID42_2""}"
nzv_3;NZV_3;Automatisierte Systeme funktionieren generell gut.;Inwiefern stimmen Sie diesen Aussagen zu Technologie und Vertrauen zu? - Automatisierte Systeme funktionieren generell gut.;"{""ImportId"":""QID42_3""}"
ati_1;ATI_1;Ich beschäftige mich gern genauer mit technischen Systemen.;Inwiefern stimmen Sie diesen Aussagen zu Ihrer Technikaffinität zu? - Ich beschäftige mich gern genauer mit technischen Systemen.;"{""ImportId"":""QID9_1""}"
ati_2;ATI_2;Ich probiere gern die Funktionen neuer technischer Systeme aus.;Inwiefern stimmen Sie diesen Aussagen zu Ihrer Technikaffinität zu? - Ich probiere gern die Funktionen neuer technischer Systeme aus.;"{""ImportId"":""QID9_2""}"
ati_3n;ATI_3;In erster Linie beschäftige ich mich mit technischen Systemen, weil ich muss.;Inwiefern stimmen Sie diesen Aussagen zu Ihrer Technikaffinität zu? - In erster Linie beschäftige ich mich mit technischen Systemen, weil ich muss.;"{""ImportId"":""QID9_3""}"
ati_4;ATI_4;Wenn ich ein neues technisches System vor mir habe, probiere ich es intensiv aus.;Inwiefern stimmen Sie diesen Aussagen zu Ihrer Technikaffinität zu? - Wenn ich ein neues technisches System vor mir habe, probiere ich es intensiv aus.;"{""ImportId"":""QID9_4""}"
ati_5;ATI_5;Ich verbringe sehr gern Zeit mit dem Kennenlernen eines neuen technischen Systems.;Inwiefern stimmen Sie diesen Aussagen zu Ihrer Technikaffinität zu? - Ich verbringe sehr gern Zeit mit dem Kennenlernen eines neuen technischen Systems.;"{""ImportId"":""QID9_5""}"
ati_6n;ATI_6;Es genügt mir, dass ein technisches System funktioniert, mir ist es egal, wie oder warum.;Inwiefern stimmen Sie diesen Aussagen zu Ihrer Technikaffinität zu? - Es genügt mir, dass ein technisches System funktioniert, mir ist es egal, wie oder warum.;"{""ImportId"":""QID9_6""}"
ati_7;ATI_7;Ich versuche zu verstehen, wie ein technisches System genau funktioniert.;Inwiefern stimmen Sie diesen Aussagen zu Ihrer Technikaffinität zu? - Ich versuche zu verstehen, wie ein technisches System genau funktioniert.;"{""ImportId"":""QID9_7""}"
ati_8n;ATI_8;Es genügt mir, die Grundfunktionen eines technischen Systems zu kennen.;Inwiefern stimmen Sie diesen Aussagen zu Ihrer Technikaffinität zu? - Es genügt mir, die Grundfunktionen eines technischen Systems zu kennen.;"{""ImportId"":""QID9_8""}"
ati_9;ATI_9;Ich versuche, die Möglichkeiten eines technischen Systems vollständig auszunutzen.;Inwiefern stimmen Sie diesen Aussagen zu Ihrer Technikaffinität zu? - Ich versuche, die Möglichkeiten eines technischen Systems vollständig auszunutzen.;"{""ImportId"":""QID9_9""}"
biatt_a_1;BIATT_A_1;Die Kommunalverwaltung sollte darauf hinarbeiten, diese KI einzusetzen.;Bitte beantworten Sie die folgenden Fragen in Bezug auf das KI-System, mit dem die Kommunalverwaltung Gebührenbescheide erstellt: - Die Kommunalverwaltung sollte darauf hinarbeiten, diese KI einzusetzen.;"{""ImportId"":""QID19_1""}"
biatt_a_2;BIATT_A_2;Ich kann mir gut vorstellen, das die Kommunalverwaltung diese KI bald einsetzt.;Bitte beantworten Sie die folgenden Fragen in Bezug auf das KI-System, mit dem die Kommunalverwaltung Gebührenbescheide erstellt: - Ich kann mir gut vorstellen, das die Kommunalverwaltung diese KI bald einsetzt.;"{""ImportId"":""QID19_2""}"
biatt_a_3;BIATT_A_3;Ich hätte gern, dass die Kommunalverwaltung diese KI in Zukunft einsetzt.;Bitte beantworten Sie die folgenden Fragen in Bezug auf das KI-System, mit dem die Kommunalverwaltung Gebührenbescheide erstellt: - Ich hätte gern, dass die Kommunalverwaltung diese KI in Zukunft einsetzt.;"{""ImportId"":""QID19_3""}"
biatt_a_4;BIATT_A_4;Die Nutzung des Systems ist eine gute Idee.;Bitte beantworten Sie die folgenden Fragen in Bezug auf das KI-System, mit dem die Kommunalverwaltung Gebührenbescheide erstellt: - Die Nutzung des Systems ist eine gute Idee.;"{""ImportId"":""QID19_4""}"
biatt_a_5;BIATT_A_5;Meine Einstellung gegenüber dem System ist positiv.;Bitte beantworten Sie die folgenden Fragen in Bezug auf das KI-System, mit dem die Kommunalverwaltung Gebührenbescheide erstellt: - Meine Einstellung gegenüber dem System ist positiv.;"{""ImportId"":""QID19_5""}"
biatt_a_6;BIATT_A_6;Ich mag die Idee, dass ein solches System eingesetzt wird.;Bitte beantworten Sie die folgenden Fragen in Bezug auf das KI-System, mit dem die Kommunalverwaltung Gebührenbescheide erstellt: - Ich mag die Idee, dass ein solches System eingesetzt wird.;"{""ImportId"":""QID19_6""}"
tia_a_1;TIA_A_1;Ich würde diesem System vertrauen.;Im Hinblick auf das KI-System: Inwiefern stimmen Sie den folgenden Aussagen zum Vertrauen zu? - Ich würde diesem System vertrauen.;"{""ImportId"":""QID24_1""}"
tia_a_2;TIA_A_2;Ich würde mich auf das System verlassen.;Im Hinblick auf das KI-System: Inwiefern stimmen Sie den folgenden Aussagen zum Vertrauen zu? - Ich würde mich auf das System verlassen.;"{""ImportId"":""QID24_2""}"
biatt_b_1;BIATT_B_1;Ich beabsichtige, die beschriebene KI zu nutzen.;Bitte beantworten Sie die folgenden Fragen in Bezug auf das KI-System, welches Ihnen die Informationssuche erleichtert: - Ich beabsichtige, die beschriebene KI zu nutzen.;"{""ImportId"":""QID34_1""}"
biatt_b_2;BIATT_B_2;Ich kann mir gut vorstellen, das beschriebene KI-System einzusetzen.;Bitte beantworten Sie die folgenden Fragen in Bezug auf das KI-System, welches Ihnen die Informationssuche erleichtert: - Ich kann mir gut vorstellen, das beschriebene KI-System einzusetzen.;"{""ImportId"":""QID34_2""}"
biatt_b_3;BIATT_B_3;Ich würde das System in Zukunft gern nutzen.;Bitte beantworten Sie die folgenden Fragen in Bezug auf das KI-System, welches Ihnen die Informationssuche erleichtert: - Ich würde das System in Zukunft gern nutzen.;"{""ImportId"":""QID34_3""}"
biatt_b_4;BIATT_B_4;Die Nutzung des Systems ist eine gute Idee.;Bitte beantworten Sie die folgenden Fragen in Bezug auf das KI-System, welches Ihnen die Informationssuche erleichtert: - Die Nutzung des Systems ist eine gute Idee.;"{""ImportId"":""QID34_4""}"
biatt_b_5;BIATT_B_5;Meine Einstellung gegenüber dem System ist positiv.;Bitte beantworten Sie die folgenden Fragen in Bezug auf das KI-System, welches Ihnen die Informationssuche erleichtert: - Meine Einstellung gegenüber dem System ist positiv.;"{""ImportId"":""QID34_5""}"
biatt_b_6;BIATT_B_6;Ich mag die Idee, dass ein solches System eingesetzt wird.;Bitte beantworten Sie die folgenden Fragen in Bezug auf das KI-System, welches Ihnen die Informationssuche erleichtert: - Ich mag die Idee, dass ein solches System eingesetzt wird.;"{""ImportId"":""QID34_6""}"
tia_b_1;TIA_B_1;Ich würde diesem System vertrauen.;Im Hinblick auf das KI-System: Inwiefern stimmen Sie den folgenden Aussagen zum Vertrauen zu? - Ich würde diesem System vertrauen.;"{""ImportId"":""QID36_1""}"
tia_b_2;TIA_B_2;Ich würde mich auf das System verlassen.;Im Hinblick auf das KI-System: Inwiefern stimmen Sie den folgenden Aussagen zum Vertrauen zu? - Ich würde mich auf das System verlassen.;"{""ImportId"":""QID36_2""}"
biatt_c_1;BIATT_C_1;Ich beabsichtige, die beschriebene KI zu nutzen.;Bitte beantworten Sie die folgenden Fragen in Bezug auf das KI-System, welches Ihnen beim Ausfüllen von Formularen hilft: - Ich beabsichtige, die beschriebene KI zu nutzen.;"{""ImportId"":""QID28_1""}"
biatt_c_2;BIATT_C_2;Ich kann mir gut vorstellen, das beschriebene KI-System einzusetzen.;Bitte beantworten Sie die folgenden Fragen in Bezug auf das KI-System, welches Ihnen beim Ausfüllen von Formularen hilft: - Ich kann mir gut vorstellen, das beschriebene KI-System einzusetzen.;"{""ImportId"":""QID28_2""}"
biatt_c_3;BIATT_C_3;Ich würde das System in Zukunft gern nutzen.;Bitte beantworten Sie die folgenden Fragen in Bezug auf das KI-System, welches Ihnen beim Ausfüllen von Formularen hilft: - Ich würde das System in Zukunft gern nutzen.;"{""ImportId"":""QID28_3""}"
biatt_c_4;BIATT_C_4;Die Nutzung des Systems ist eine gute Idee.;Bitte beantworten Sie die folgenden Fragen in Bezug auf das KI-System, welches Ihnen beim Ausfüllen von Formularen hilft: - Die Nutzung des Systems ist eine gute Idee.;"{""ImportId"":""QID28_4""}"
biatt_c_5;BIATT_C_5;Meine Einstellung gegenüber dem System ist positiv.;Bitte beantworten Sie die folgenden Fragen in Bezug auf das KI-System, welches Ihnen beim Ausfüllen von Formularen hilft: - Meine Einstellung gegenüber dem System ist positiv.;"{""ImportId"":""QID28_5""}"
biatt_c_6;BIATT_C_6;Ich mag die Idee, dass ein solches System eingesetzt wird.;Bitte beantworten Sie die folgenden Fragen in Bezug auf das KI-System, welches Ihnen beim Ausfüllen von Formularen hilft: - Ich mag die Idee, dass ein solches System eingesetzt wird.;"{""ImportId"":""QID28_6""}"
SzenarioA;FL_15_DO_SzenarioA;Block Randomizer;FL_15 - Block Randomizer - Display Order - SzenarioA;"{""ImportId"":""FL_15_DO"",""choiceId"":""SzenarioA""}"
SzenarioB;FL_15_DO_SzenarioB;Block Randomizer;FL_15 - Block Randomizer - Display Order - SzenarioB;"{""ImportId"":""FL_15_DO"",""choiceId"":""SzenarioB""}"
SzenarioC;FL_15_DO_SzenarioC;Block Randomizer;FL_15 - Block Randomizer - Display Order - SzenarioC;"{""ImportId"":""FL_15_DO"",""choiceId"":""SzenarioC""}"
Kontrolle;EGN_3;"Dies ist ein Aufmerksamkeitstest. Bitte klicken Sie ""Stimme nicht zu"" an";"Wie ist Ihre Einstellung zum Thema Nachhaltigkeit? - Dies ist ein Aufmerksamkeitstest. Bitte klicken Sie ""Stimme nicht zu"" an";"{""ImportId"":""QID18_5""}"